id,Timestamp,Category,Money,Description,Details
782797764,2022-07-29T00:07:23.095029+00:00,interest,-841,Bond interest payment,"{""bond value"": ""$165000"", ""interest"": ""0.5%"", ""owner"": ""Norsc Corp""}"
782797205,2022-07-29T00:07:21.705970+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""Chiong Liong SBN.BHD.""}"
782797196,2022-07-29T00:07:21.686330+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""HY Market Co.""}"
782797188,2022-07-29T00:07:21.667543+00:00,interest,-50,Bond interest payment,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""owner"": ""XTechi""}"
782797153,2022-07-29T00:07:21.597285+00:00,interest,50,Bond yield,"{""bond value"": ""$10000"", ""interest"": ""0.5%"", ""issuer"": ""HY Market Co.""}"
782783538,2022-07-29T00:06:48.635244+00:00,interest,-1100,Bond interest payment,"{""bond value"": ""$220000"", ""interest"": ""0.5%"", ""owner"": ""Gohard Enterprise""}"
782783490,2022-07-29T00:06:48.555628+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""E.Empires""}"
782774063,2022-07-29T00:06:23.990551+00:00,interest,127,Bond yield,"{""bond value"": ""$25000"", ""interest"": ""0.5%"", ""issuer"": ""BASIClNTERIORKING""}"
782769442,2022-07-29T00:06:10.610895+00:00,interest,-1025,Bond interest payment,"{""bond value"": ""$205000"", ""interest"": ""0.5%"", ""owner"": ""BAM Sim Company""}"
782766553,2022-07-29T00:06:02.701449+00:00,interest,-275,Bond interest payment,"{""bond value"": ""$55000"", ""interest"": ""0.5%"", ""owner"": ""Aewenion Arch""}"
782766544,2022-07-29T00:06:02.682120+00:00,interest,-250,Bond interest payment,"{""bond value"": ""$50000"", ""interest"": ""0.5%"", ""owner"": ""KAKAMIMI""}"
782763608,2022-07-29T00:05:55.460731+00:00,interest,-2575,Bond interest payment,"{""bond value"": ""$515000"", ""interest"": ""0.5%"", ""owner"": ""Husar Sky and Space""}"
782735344,2022-07-29T00:04:40.248767+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Fazenda Jardim""}"
782733945,2022-07-29T00:04:37.058558+00:00,interest,-500,Bond interest payment,"{""bond value"": ""$100000"", ""interest"": ""0.5%"", ""owner"": ""Hexko""}"
782733104,2022-07-29T00:04:35.096300+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""AdiShop SARL.""}"
782730335,2022-07-29T00:04:27.323546+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Heux Inc""}"
782730319,2022-07-29T00:04:27.282631+00:00,interest,-25,Bond interest payment,"{""bond value"": ""$5000"", ""interest"": ""0.5%"", ""owner"": ""Dagny Enterprises""}"
782729740,2022-07-29T00:04:25.810948+00:00,interest,-450,Bond interest payment,"{""bond value"": ""$90000"", ""interest"": ""0.5%"", ""owner"": ""Founders company""}"
781876539,2022-07-28T10:51:55.543349+00:00,fees,-2622,Market fees selling Energy research,{}
781876538,2022-07-28T10:51:55.541683+00:00,market,87368,Energy research market order filled,"{""resource"": ""Energy research"", ""amount"": 326, ""quality"": 0, ""price"": ""$268.00"", ""buyer"": ""YH Co. Ltd"", ""profit"": 22452}"
781855659,2022-07-28T10:28:01.768155+00:00,fees,-13396,Market fees selling Electronics research,{}
781855658,2022-07-28T10:28:01.765567+00:00,market,446520,Electronics research market order filled,"{""resource"": ""Electronics research"", ""amount"": 1220, ""quality"": 0, ""price"": ""$366.00"", ""buyer"": ""Lobstershed"", ""profit"": 122227}"
781691568,2022-07-28T07:03:22.955178+00:00,contract,-7280,Ginger beer contract from BUDWEISER BEER,"{""quantity"": 104, ""quality"": 9, ""price"": ""$70.000""}"
781691546,2022-07-28T07:03:21.736011+00:00,contract,-12375,Orange juice contract from Steffen Inc,"{""quantity"": 250, ""quality"": 7, ""price"": ""$49.500""}"
